id,name,short,state_id,op_id,status_id
131,Kabupaten Lampung Utara,1806,8,1,1
132,Kabupaten Way Kanan,1807,8,1,1
133,Kabupaten Tulangbawang,1808,8,1,1
134,Kabupaten Pesawaran,1809,8,1,1
135,Kabupaten Pringsewu,1810,8,1,1
136,Kabupaten Mesuji,1811,8,1,1
137,Kabupaten Tulang Bawang Barat,1812,8,1,1
138,Kabupaten Pesisir Barat,1813,8,1,1
139,Kota Bandar Lampung,1871,8,1,1
140,Kota Metro,1872,8,1,1
141,Kabupaten Bangka,1901,9,1,1
142,Kabupaten Belitung,1902,9,1,1
143,Kabupaten Bangka Barat,1903,9,1,1
144,Kabupaten Bangka Tengah,1904,9,1,1
145,Kabupaten Bangka Selatan,1905,9,1,1
146,Kabupaten Belitung Timur,1906,9,1,1
147,Kota Pangkal Pinang,1971,9,1,1
148,Kabupaten Karimun,2101,10,1,1
149,Kabupaten Bintan,2102,10,1,1
150,Kabupaten Natuna,2103,10,1,1
151,Kabupaten Lingga,2104,10,1,1
152,Kabupaten Kepulauan Anambas,2105,10,1,1
153,Kota Batam,2171,10,1,1
154,Kota Tanjung Pinang,2172,10,1,1
155,Kabupaten Kepulauan Seribu,3101,11,1,1
156,Kota Jakarta Selatan,3171,11,1,1
157,Kota Jakarta Timur,3172,11,1,1
158,Kota Jakarta Pusat,3173,11,1,1
159,Kota Jakarta Barat,3174,11,1,1
160,Kota Jakarta Utara,3175,11,1,1
161,Kabupaten Bogor,3201,12,1,1
162,Kabupaten Sukabumi,3202,12,1,1
163,Kabupaten Cianjur,3203,12,1,1
164,Kabupaten Bandung,3204,12,1,1
165,Kabupaten Garut,3205,12,1,1
166,Kabupaten Tasikmalaya,3206,12,1,1
167,Kabupaten Ciamis,3207,12,1,1
168,Kabupaten Kuningan,3208,12,1,1
169,Kabupaten Cirebon,3209,12,1,1
170,Kabupaten Majalengka,3210,12,1,1
171,Kabupaten Sumedang,3211,12,1,1
172,Kabupaten Indramayu,3212,12,1,1
173,Kabupaten Subang,3213,12,1,1
174,Kabupaten Purwakarta,3214,12,1,1
175,Kabupaten Karawang,3215,12,1,1
176,Kabupaten Bekasi,3216,12,1,1
177,Kabupaten Bandung Barat,3217,12,1,1
178,Kabupaten Pangandaran,3218,12,1,1
179,Kota Bogor,3271,12,1,1
180,Kota Sukabumi,3272,12,1,1
181,Kota Bandung,3273,12,1,1
182,Kota Cirebon,3274,12,1,1
183,Kota Bekasi,3275,12,1,1
184,Kota Depok,3276,12,1,1
185,Kota Cimahi,3277,12,1,1
186,Kota Tasikmalaya,3278,12,1,1
187,Kota Banjar,3279,12,1,1
188,Kabupaten Cilacap,3301,13,1,1
189,Kabupaten Banyumas,3302,13,1,1
190,Kabupaten Purbalingga,3303,13,1,1
191,Kabupaten Banjarnegara,3304,13,1,1
192,Kabupaten Kebumen,3305,13,1,1
193,Kabupaten Purworejo,3306,13,1,1
194,Kabupaten Wonosobo,3307,13,1,1
